,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
8628,Sulaman,Queens,Richmond Hill,40.68604,-73.80946,95,30,6,2/28/2023,0.36,1,364,3,4.83,1 bed,1 bath,Rental unit in Queens,1 bedroom
8629,Aaron,Brooklyn,Sunset Park,40.6642952,-73.99492645,140,30,57,10/22/2023,2.84,1,180,27,4.74,6 beds,2.5 baths,Rental unit in Brooklyn,3 bedrooms
8630,Shai,Manhattan,Hell's Kitchen,40.76209,-73.99326,130,30,6,10/17/2023,0.34,8,218,4,5,1 bed,1 bath,Rental unit in New York,Studio
8633,Shawn,Queens,Edgemere,40.594929,-73.770699,460,30,40,9/12/2023,1.99,3,365,20,4.9,4 beds,2 baths,Home in Queens,3 bedrooms
8634,Victoria,Brooklyn,Clinton Hill,40.68706,-73.96501,760,31,12,8/22/2023,0.69,1,75,7,5,4 beds,3 baths,Townhouse in Brooklyn,3 bedrooms
8635,Victor,Brooklyn,Williamsburg,40.70496,-73.93606,59,30,17,4/30/2023,1.02,5,142,10,4.76,1 bed,1 shared bath,Loft in Brooklyn,5 bedrooms
8636,Sabrina,Brooklyn,Williamsburg,40.70609,-73.94216,120,30,12,11/18/2023,0.64,1,365,2,4.08,1 bed,1 bath,Rental unit in Brooklyn,2 bedrooms
8637,Hotel,Brooklyn,East New York,40.673218,-73.897003,293,1,31,11/14/2023,1.63,1,365,5,3.77,1 bed,1 private bath,Hotel in Brooklyn,1 bedroom
8639,Giovanni,Brooklyn,Bedford-Stuyvesant,40.69295,-73.94782,109,30,15,8/24/2023,0.79,3,6,10,4.93,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
8640,Sakeeb,Queens,Bellerose,40.72756,-73.72987,99,30,82,9/4/2023,4.22,1,34,37,4.67,1 bed,1 bath,Rental unit in Queens,1 bedroom
8641,Niki,Manhattan,Midtown,40.75062,-73.9696,530,2,47,11/11/2023,2.36,1,338,26,4.74,2 beds,1 bath,Rental unit in New York,2 bedrooms
8642,Tom,Queens,Astoria,40.76664,-73.91744,116,30,5,5/1/2023,0.26,1,363,1,5,1 bed,1 bath,Rental unit in Astoria,Studio
