,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
1135,Melbourne,Brooklyn,Flatbush,40.6343,-73.96441,79,30,311,11/19/2023,3.04,1,49,35,4.91,1 bed,1 private bath,Home in Brooklyn,1 bedroom
1136,Moe,Brooklyn,Bensonhurst,40.61266,-74.0011,169,30,237,7/20/2023,2.32,1,365,1,4.38,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
1137,Xristina&Keith,Brooklyn,Clinton Hill,40.69314,-73.96092,100,30,70,6/5/2023,0.96,1,43,16,4.83,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
1138,Yann,Manhattan,SoHo,40.72735488,-74.00253847,140,30,159,11/13/2023,1.56,1,364,26,4.77,1 bed,1 bath,Rental unit in Soho New York,1 bedroom
1139,Mighty Tree Properties,Manhattan,Midtown,40.76495,-73.97886,341,30,11,12/1/2023,0.2,6,173,2,5,2 beds,1 bath,Condo in New York,1 bedroom
1140,Mira,Manhattan,Gramercy,40.73833,-73.98392,199,31,21,9/14/2023,0.82,1,142,11,4.95,1 bed,1 bath,Rental unit in New York,1 bedroom
1141,Be,Manhattan,Upper East Side,40.78414,-73.94834,110,30,255,11/13/2023,2.63,1,244,39,4.52,2 beds,1 bath,Rental unit in New York,2 bedrooms
1142,Boris,Manhattan,Washington Heights,40.84886,-73.94335,85,30,183,11/6/2023,1.79,1,362,33,4.87,2 beds,1 shared bath,Rental unit in New York,1 bedroom
1143,Cecilia,Brooklyn,Gowanus,40.67868,-73.98909,525,30,34,11/1/2023,0.34,1,250,17,4.82,3 beds,2 baths,Home in Brooklyn,3 bedrooms
1144,Brad,Brooklyn,Crown Heights,40.6696,-73.94685,50,30,65,9/8/2023,0.64,1,62,3,4.85,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1145,Tiffany,Brooklyn,Carroll Gardens,40.68478,-73.98971,300,30,24,11/5/2023,1.65,1,87,16,4.92,2 beds,1 bath,Condo in Brooklyn,1 bedroom
1146,Tina,Manhattan,Harlem,40.80818,-73.94964,540,30,141,11/24/2023,1.5,1,279,32,4.75,5 beds,2.5 baths,Townhouse in New York,4 bedrooms
1147,Steve,Manhattan,Washington Heights,40.84728,-73.93933,66,30,85,11/12/2023,1.84,2,353,40,4.89,1 bed,1 shared bath,Rental unit in New York,1 bedroom
1148,Jason,Brooklyn,Bedford-Stuyvesant,40.68589,-73.93335,75,30,232,11/18/2023,2.3,2,23,30,4.78,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
1149,Sarah,Manhattan,Harlem,40.81918,-73.95442,94,30,42,10/23/2023,0.45,1,89,17,4.71,1 bed,1 shared bath,Rental unit in New York,1 bedroom
1150,Alex,Brooklyn,Sheepshead Bay,40.58418,-73.95929,99,30,77,8/9/2023,0.76,4,216,3,4.73,3 beds,1 bath,Home in Brooklyn,1 bedroom
1151,Eric,Brooklyn,Brownsville,40.657676,-73.9083951,299,3,45,11/25/2023,3.15,1,150,37,4.96,3 beds,2 baths,Rental unit in Brooklyn,3 bedrooms
1152,Louis,Brooklyn,Williamsburg,40.71325,-73.9577,150,30,65,10/26/2023,0.65,1,352,15,4.88,3 beds,2 baths,Rental unit in Brooklyn,2 bedrooms
1153,Nyet,Brooklyn,Park Slope,40.67383,-73.97764,151,7,203,11/7/2023,2.02,1,316,27,4.94,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1154,Michal,Brooklyn,Gowanus,40.67077,-73.98919,239,30,227,9/10/2023,2.23,1,315,4,4.96,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
1155,Carlene,Brooklyn,Bedford-Stuyvesant,40.69386,-73.9457,43,30,83,5/31/2023,0.85,9,348,4,4.69,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
1156,Susi,Queens,Elmhurst,40.73564,-73.87221,268,30,148,8/12/2023,1.46,1,331,5,4.96,2 beds,1 bath,Condo in Queens,2 bedrooms
1157,J And Lana,Brooklyn,Flatbush,40.63366,-73.95973,110,30,77,8/30/2023,0.76,1,162,7,4.92,1 bed,1 private bath,Home in Brooklyn,1 bedroom
1158,Mich,Manhattan,East Village,40.72625,-73.97977,161,30,17,11/13/2023,0.86,6,268,16,4.82,2 beds,1 bath,Rental unit in New York,1 bedroom
1159,Yulia,Manhattan,SoHo,40.72178,-74.00244,500,30,49,6/28/2023,0.49,1,97,2,4.88,3 beds,2 baths,Condo in New York,2 bedrooms
1160,Lisa,Brooklyn,Crown Heights,40.66493,-73.95543,260,30,109,10/29/2023,1.11,1,359,12,4.85,1 bed,1 bath,Guest suite in Brooklyn ,1 bedroom
1161,Kimberly,Brooklyn,Prospect Heights,40.67919,-73.9685,120,30,448,8/13/2023,4.4,1,156,38,4.93,1 bed,1 private bath,Townhouse in Brooklyn,1 bedroom
1162,Anna,Queens,Howard Beach,40.66036,-73.8357,56,30,10,8/31/2023,2.13,4,90,10,4.7,1 bed,1 shared bath,Home in Queens,1 bedroom
1163,Benjamin,Manhattan,Chelsea,40.74062,-74.00009,220,30,99,11/19/2023,0.99,1,121,2,4.91,1 bed,1 bath,Rental unit in New York,Studio
1164,Andrew,Manhattan,Nolita,40.72112,-73.99477,636,30,33,6/12/2023,0.32,1,90,2,4.76,1 bed,1 bath,Rental unit in New York,1 bedroom
1165,James,Queens,Bayside,40.76603,-73.77133,127,30,178,6/1/2023,1.78,1,323,4,4.61,3 beds,2 baths,Home in Queens,3 bedrooms
1166,AFI Apartments,Manhattan,Upper East Side,40.77107,-73.95742,116,30,8,9/15/2023,0.09,31,294,1,5,1 bed,1 bath,Rental unit in New York,1 bedroom
1167,Jonathan,Brooklyn,Bushwick,40.69454,-73.92191,201,30,251,8/30/2023,2.54,2,167,27,4.84,4 beds,1 bath,Rental unit in Brooklyn,3 bedrooms
1168,John,Brooklyn,Vinegar Hill,40.70305,-73.98368,183,30,39,10/28/2023,0.39,1,359,2,4.77,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
1169,Benjamin,Brooklyn,Fort Greene,40.68929,-73.97759,153,30,33,11/19/2023,0.37,17,277,5,4.85,2 beds,1 bath,Rental unit in Brooklyn,Studio
1170,Regina,Brooklyn,Borough Park,40.63574,-74.00386,36,30,93,9/19/2023,0.92,1,180,2,4.96,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1171,Benjamin,Brooklyn,Boerum Hill,40.68826,-73.98558,110,30,13,8/6/2023,0.13,17,345,2,4.62,2 beds,1 bath,Rental unit in Brooklyn,Studio
1172,Roula,Queens,Ditmars Steinway,40.77833,-73.91861,124,30,196,10/12/2023,1.96,1,363,17,4.91,3 beds,1 private bath,Guest suite in Queens,1 bedroom
1173,Paul,Manhattan,Hell's Kitchen,40.76543,-73.98766,105,30,72,8/7/2023,0.72,1,323,2,4.78,1 bed,1 bath,Rental unit in New York,1 bedroom
1174,Janet-David,Brooklyn,Williamsburg,40.70882,-73.9558,120,30,320,10/13/2023,3.19,1,358,25,4.92,2 beds,1 private bath,Home in Brooklyn,1 bedroom
1175,Chris,Queens,Jamaica,40.68877,-73.77862,55,30,78,8/27/2023,0.77,2,364,6,4.72,1 bed,1 shared bath,Rental unit in Jamaica,1 bedroom
1176,Neil,Brooklyn,Bedford-Stuyvesant,40.68623,-73.94041,75,30,223,10/22/2023,2.36,2,61,32,4.7,3 beds,1 bath,Townhouse in Brooklyn,2 bedrooms
1177,Nathalie,Brooklyn,South Slope,40.66419,-73.98738,200,60,3,8/14/2023,0.05,1,185,1,5,2 beds,2 baths,Rental unit in Brooklyn,2 bedrooms
1178,Jennifer,Brooklyn,Fort Hamilton,40.61911,-74.03144,80,30,78,8/30/2023,0.85,1,164,18,4.95,1 bed,1 shared bath,Condo in Brooklyn,1 bedroom
1179,Rachel,Manhattan,Upper West Side,40.80384,-73.9676,141,30,43,5/29/2023,0.42,4,228,1,4.49,2 beds,1 bath,Rental unit in New York,1 bedroom
1180,Bindia,Manhattan,Upper West Side,40.79146,-73.97233,100,30,68,12/2/2023,0.83,1,243,17,4.9,1 bed,1 private bath,Condo in New York,1 bedroom
1181,Ikkyukim,Bronx,Hunts Point,40.81288,-73.88736,40,30,30,10/31/2023,0.3,7,316,4,4.5,1 bed,1.5 shared baths,Home in Bronx,1 bedroom
1182,Paul,Manhattan,Midtown,40.76432,-73.97793,449,4,39,11/10/2023,0.43,2,336,9,5,1 bed,1 bath,Serviced apartment in New York,Studio
1183,Russ,Brooklyn,Clinton Hill,40.68803,-73.96785,109,31,10,5/27/2023,0.11,1,213,2,4.6,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
1184,Anetha,Brooklyn,Prospect-Lefferts Gardens,40.66189,-73.93997,75,30,101,10/31/2023,1.02,3,180,9,4.37,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1185,BeiBei,Brooklyn,Williamsburg,40.71695937,-73.95935073,237,30,138,11/5/2023,1.36,1,171,28,4.72,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
1186,Rachel,Manhattan,Upper West Side,40.80372,-73.96908,142,30,21,8/28/2023,0.21,4,244,2,4.43,3 beds,1 bath,Rental unit in New York,1 bedroom
1187,Esteban,Queens,Jackson Heights,40.75413,-73.86576,100,30,136,9/2/2023,1.36,3,364,9,4.91,1 bed,1 shared bath,Home in Queens,1 bedroom
1188,Robin,Brooklyn,Bedford-Stuyvesant,40.68414,-73.92791,182,30,364,11/3/2023,3.6,1,208,54,4.91,2 beds,1 private bath,Townhouse in Brooklyn,2 bedrooms
1189,William,Queens,Astoria,40.75653,-73.92515,228,30,244,11/4/2023,2.52,1,271,20,4.93,2 beds,1 bath,Rental unit in astoria,2 bedrooms
1190,Carlene,Brooklyn,Bedford-Stuyvesant,40.69386,-73.9457,41,30,112,11/11/2023,1.12,9,317,7,4.54,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1191,Dr.Julien,Brooklyn,Bushwick,40.70683,-73.9193,61,30,7,9/2/2023,0.28,56,354,3,5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1192,Rosario,Manhattan,Washington Heights,40.83321,-73.9426,46,30,15,10/23/2023,0.15,1,99,5,4.8,1 bed,1 shared bath,Rental unit in New York,1 bedroom
1193,Greg,Brooklyn,East New York,40.67391,-73.89394,212,30,93,10/30/2023,0.93,1,1,1,4.89,3 beds,1 bath,Rental unit in Brooklyn,3 bedrooms
1195,John,Manhattan,SoHo,40.72222,-74.00112,550,30,57,9/17/2023,0.57,1,365,11,4.93,2 beds,1.5 baths,Loft in New York,2 bedrooms
1196,Chip,Manhattan,Harlem,40.83077621,-73.94950867,65,30,8,11/30/2023,0.08,4,320,3,4.5,1 bed,1.5 shared baths,Rental unit in New York,1 bedroom
1197,Ola,Manhattan,Chelsea,40.74205399,-73.99846649,360,30,34,6/15/2023,0.34,1,245,1,4.94,2 beds,2 baths,"Condo in Chelsea, New York",2 bedrooms
1198,Jason,Brooklyn,Bedford-Stuyvesant,40.67957,-73.93132,92,30,177,8/16/2023,1.76,3,32,1,4.88,1 bed,1 shared bath,Townhouse in Brooklyn,1 bedroom
1199,John,Brooklyn,Bensonhurst,40.60966,-73.97645,249,30,46,9/4/2023,0.48,2,166,5,4.78,1 bed,1 shared bath,Townhouse in Brooklyn,1 bedroom
1200,Hsiang Wei,Brooklyn,Bedford-Stuyvesant,40.69194,-73.95934,88,30,92,11/2/2023,1.16,2,61,18,4.77,2 beds,1 private bath,Loft in Brooklyn,1 bedroom
1201,Jonathan,Brooklyn,Fort Greene,40.68899,-73.97269,300,30,319,10/26/2023,3.2,2,365,42,4.93,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
1202,Edgar,Brooklyn,Bedford-Stuyvesant,40.69503,-73.95971,70,1,438,11/20/2023,4.78,2,114,76,4.86,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1203,Julia,Manhattan,Flatiron District,40.74152662,-73.98522036,176,30,179,9/11/2023,1.84,2,166,23,4.9,1 bed,1 bath,Rental unit in New York,Studio
1205,Donavan,Brooklyn,East New York,40.66145,-73.89935,245,30,174,11/10/2023,1.75,1,365,34,4.83,4 beds,2.5 baths,Home in Brooklyn,4 bedrooms
1206,Alex,Manhattan,East Village,40.7259,-73.97974,250,30,79,11/6/2023,0.78,3,180,2,4.61,1 bed,1 shared bath,Rental unit in New York,1 bedroom
1207,Natalie,Staten Island,Randall Manor,40.63863,-74.10685,75,30,31,9/23/2023,0.32,1,89,4,4.97,1 bed,1 shared bath,Home in Staten Island,1 bedroom
1208,Benjamin,Brooklyn,Boerum Hill,40.68826,-73.98558,115,30,18,7/19/2023,0.21,17,277,2,4.61,2 beds,1 bath,Rental unit in Brooklyn,Studio
1209,Christine,Brooklyn,Crown Heights,40.67138,-73.92739,50,30,50,10/6/2023,0.5,1,317,6,4.88,2 beds,1 shared bath,Rental unit in Brooklyn,1 bedroom
1210,Aly,Manhattan,Upper East Side,40.76339,-73.96739,135,30,298,11/6/2023,2.97,1,276,43,4.86,1 bed,1 shared bath,Rental unit in New York,1 bedroom
1211,Lovelynn,Manhattan,Harlem,40.82276,-73.95472,350,30,141,10/29/2023,1.42,2,89,9,4.69,4 beds,1 bath,Rental unit in Manhattan,2 bedrooms
1212,Thomas,Brooklyn,Bushwick,40.69647,-73.91857,85,3,227,11/5/2023,2.26,1,317,27,4.52,2 beds,1 private bath,Home in Brooklyn,Studio
1213,Angele,Queens,Astoria,40.75834,-73.91284,90,30,75,8/13/2023,0.77,1,196,3,4.81,2 beds,1 bath,Home in Long Island City,2 bedrooms
1214,Michelle,Queens,Jamaica,40.70563,-73.80523,145,30,13,10/31/2023,0.48,1,178,1,4.92,1 bed,1 bath,Rental unit in New York,1 bedroom
1215,Ksenia,Brooklyn,Bedford-Stuyvesant,40.67678,-73.91645,281,30,63,9/24/2023,0.64,2,89,18,4.83,4 beds,2.5 baths,Rental unit in Brooklyn,4 bedrooms
1216,Tony,Queens,Astoria,40.7688,-73.9093,72,30,292,8/31/2023,2.95,1,358,26,4.72,1 bed,1 bath,Rental unit in Astoria,1 bedroom
1217,Fatou,Brooklyn,Crown Heights,40.67422,-73.95252,330,1,46,11/12/2023,0.52,9,351,3,4.8,2 beds,1 shared bath,Townhouse in Brooklyn,1 bedroom
1218,Esteban,Queens,Jackson Heights,40.75544805,-73.86430166,100,30,163,9/5/2023,1.63,3,364,7,4.92,1 bed,1 shared bath,Home in Queens,1 bedroom
1219,Roman,Brooklyn,Williamsburg,40.71429,-73.96299,140,30,16,9/24/2023,0.16,2,89,9,4.94,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1220,Esteban,Queens,Jackson Heights,40.75572,-73.86453,100,30,158,9/4/2023,1.58,3,364,14,4.89,1 bed,1 shared bath,Home in Queens,1 bedroom
1221,Brady,Brooklyn,Bedford-Stuyvesant,40.68998,-73.9307,102,1,522,11/27/2023,5.2,8,36,75,4.82,1 bed,2 shared baths,Townhouse in Brooklyn,1 bedroom
1222,Brady,Brooklyn,Bedford-Stuyvesant,40.69049,-73.93005,139,1,523,11/30/2023,5.22,8,20,65,4.8,1 bed,2 shared baths,Townhouse in Brooklyn,1 bedroom
1223,Brady,Brooklyn,Bedford-Stuyvesant,40.68879,-73.92859,136,1,503,11/24/2023,5.02,8,17,73,4.85,1 bed,2 shared baths,Townhouse in Brooklyn,1 bedroom
1224,Brady,Brooklyn,Bedford-Stuyvesant,40.68886,-73.92871,112,1,610,11/26/2023,6.11,8,23,82,4.84,1 bed,2 shared baths,Townhouse in Brooklyn,1 bedroom
1225,George,Brooklyn,East Flatbush,40.64044,-73.94878,146,30,184,10/13/2023,1.84,1,362,26,4.71,2 beds,1 private bath,Place to stay in Brooklyn,2 bedrooms
1226,Vapee,Manhattan,Hell's Kitchen,40.76213,-73.99029,117,30,178,10/27/2023,1.85,1,221,41,4.44,2 beds,1 bath,Rental unit in New York,2 bedrooms
1227,John,Brooklyn,Fort Greene,40.69231,-73.96967,7498,30,173,7/23/2023,1.73,3,365,8,4.78,5 beds,2 baths,Rental unit in Brooklyn,4 bedrooms
1228,Laura,Manhattan,Chelsea,40.742033,-73.994942,280,30,4,10/18/2023,0.26,1,312,2,5,1 bed,1 bath,Rental unit in New York,1 bedroom
1230,Timur,Manhattan,SoHo,40.72599,-74.0053,319,30,195,7/3/2023,1.95,1,316,26,4.93,2 beds,1 bath,Rental unit in New York,1 bedroom
1231,Chris,Brooklyn,Prospect Heights,40.67781,-73.97262,165,30,201,11/9/2023,2.45,1,269,25,4.9,1 bed,1 private bath,Home in Brooklyn,1 bedroom
1232,Benjamin,Brooklyn,Bushwick,40.69693,-73.91153,120,30,73,11/2/2023,0.78,1,200,4,5,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
1233,"Isaac, Linda & Noelia",Brooklyn,Sunset Park,40.6498,-74.00204,50,30,30,8/31/2023,0.3,4,232,5,4.57,1 bed,0 baths,Home in Brooklyn,1 bedroom
1234,Rigoberto,Brooklyn,Crown Heights,40.66714,-73.9308,190,30,176,9/22/2023,1.78,1,364,21,4.83,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
1235,Robbin,Brooklyn,Greenpoint,40.7217,-73.94205,165,30,164,11/4/2023,1.64,1,363,3,4.91,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
1236,Mia,Brooklyn,Bedford-Stuyvesant,40.68252,-73.92404,147,30,329,9/28/2023,3.56,1,248,29,4.92,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
1237,Everol,Brooklyn,East Flatbush,40.64272,-73.94819,116,30,66,10/11/2023,1.18,1,269,12,4.77,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
1238,Wing,Queens,Howard Beach,40.65697,-73.83344,150,30,477,10/21/2023,4.77,1,126,53,4.97,3 beds,1 bath,Tiny home in Queens,2 bedrooms
1239,Lenny,Manhattan,Harlem,40.80193,-73.95677,220,30,239,10/30/2023,2.4,1,364,26,4.43,4 beds,1 bath,Rental unit in New York,2 bedrooms
1240,Jason,Brooklyn,Bedford-Stuyvesant,40.68088,-73.93003,245,3,339,11/29/2023,3.39,3,338,33,4.91,2 beds,1 bath,Guest suite in Brooklyn,1 bedroom
1241,Luis Enrique,Brooklyn,Bushwick,40.68506,-73.90756,44,30,6,11/29/2023,0.12,11,336,5,4.83,1 bed,2.5 shared baths,Rental unit in Brooklyn,1 bedroom
1242,Amy,Manhattan,East Village,40.72375,-73.9808,210,30,277,11/18/2023,2.79,1,351,41,4.56,2 beds,1 bath,Rental unit in New York,2 bedrooms
1243,Mona And Wally,Staten Island,Silver Lake,40.62227249,-74.0986557,119,30,292,7/24/2023,2.93,1,3,21,4.7,2 beds,1 bath,Home in Staten Island ,1 bedroom
1244,Paul,Brooklyn,Bushwick,40.6988,-73.93532,119,30,260,8/31/2023,2.61,1,365,2,4.5,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
1245,Matthew,Brooklyn,Bushwick,40.69205,-73.92511,116,30,159,10/22/2023,1.59,1,339,18,4.81,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
1246,Nadege & Charles,Brooklyn,Cobble Hill,40.68793,-73.99828,245,30,98,10/25/2023,1.05,1,143,22,4.95,1 bed,1 private bath,Townhouse in Brooklyn,Studio
1247,Martha,Staten Island,Great Kills,40.54615,-74.14654,134,1,134,10/30/2023,1.34,1,118,18,5,2 beds,2 shared baths,Home in Staten Island,2 bedrooms
1248,"Isaac, Linda & Noelia",Brooklyn,Sunset Park,40.64977,-74.00385,56,30,17,5/31/2023,0.18,4,339,3,4.71,1 bed,0 baths,Home in Brooklyn,1 bedroom
1249,Barbara,Brooklyn,Flatbush,40.65118,-73.96076,55,30,269,10/26/2023,2.69,1,334,20,4.71,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
1250,Tj And Arina And Leah,Brooklyn,Midwood,40.61495,-73.95896,71,30,12,9/1/2023,0.12,2,334,1,4.83,2 beds,1 shared bath,Townhouse in Brooklyn,1 bedroom
1251,Yolanda,Brooklyn,Bedford-Stuyvesant,40.68001,-73.94248,105,30,9,11/15/2023,0.1,2,47,2,4.89,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
1252,Sebastian,Queens,Astoria,40.76271,-73.91208,65,30,108,8/7/2023,1.09,1,365,2,4.84,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
1253,Danielle,Brooklyn,Bedford-Stuyvesant,40.68393,-73.91919,200,30,114,10/18/2023,1.15,1,365,17,4.78,2 beds,1.5 baths,Townhouse in Brooklyn,2 bedrooms
1254,Maxine,Brooklyn,Canarsie,40.64123,-73.88868,52,30,14,3/1/2023,0.29,2,246,2,4.93,1 bed,1 shared bath,Home in New York,1 bedroom
1255,"Isaac, Linda & Noelia",Brooklyn,Sunset Park,40.65078,-74.004,44,30,37,1/29/2023,0.37,4,329,1,4.62,1 bed,0 shared baths,Home in Brooklyn,1 bedroom
1256,Susan,Manhattan,Harlem,40.8101,-73.94337,664,30,81,11/14/2023,0.81,1,179,37,4.85,5 beds,2 baths,Rental unit in New York,3 bedrooms
1257,Ed,Manhattan,East Village,40.72788,-73.98628,199,30,403,11/19/2023,4.06,1,365,44,4.37,2 beds,1 bath,Rental unit in New York,1 bedroom
1258,Yves,Brooklyn,Flatbush,40.63796,-73.95136,174,30,326,11/18/2023,3.3,4,357,47,4.71,6 beds,1 private bath,Rental unit in Brooklyn,2 bedrooms
1259,Benjamin,Brooklyn,Sunset Park,40.66505,-73.994,232,30,13,10/7/2023,0.22,17,247,6,4.69,2 beds,2 baths,Rental unit in Brooklyn,2 bedrooms
1260,Michael,Manhattan,Murray Hill,40.74572,-73.97531,240,30,267,11/12/2023,2.68,1,362,40,5,1 bed,1 shared bath,Rental unit in New York,1 bedroom
1261,Mordeana,Queens,Bellerose,40.73315,-73.71365,90,30,94,10/22/2023,0.94,1,339,18,4.78,1 bed,1 private bath,Home in Floral Park,1 bedroom
1262,Judy,Brooklyn,Midwood,40.62308,-73.96258,95,30,133,10/16/2023,1.47,2,363,24,4.64,2 beds,1 bath,Home in Brooklyn,Studio
1263,Tannise,Queens,Jamaica,40.66985,-73.7766,160,30,106,9/5/2023,3.56,1,180,22,4.94,1 bed,1 private bath,Place to stay in Queens,1 bedroom
1264,Susie,Manhattan,Lower East Side,40.71329,-73.9862,70,30,244,10/17/2023,2.46,1,164,6,4.57,1 bed,1 shared bath,Rental unit in New York,1 bedroom
1265,Gerald,Bronx,Norwood,40.87303,-73.88001,70,30,21,8/12/2023,0.21,1,338,5,4.67,1 bed,1 bath,Rental unit in Bronx,1 bedroom
1266,Carlos,Queens,Astoria,40.76676,-73.91276,89,30,40,8/19/2023,0.4,3,365,4,4.6,1 bed,1 bath,Rental unit in Astoria,1 bedroom
1267,Eugene,Manhattan,Theater District,40.75591,-73.98425,90,30,163,11/30/2023,1.65,1,232,3,4.88,1 bed,1 shared bath,Rental unit in New York,1 bedroom
1268,Noelle,Brooklyn,Greenpoint,40.73325162,-73.95270958,189,30,23,11/3/2023,0.23,1,180,4,5,2 beds,1 bath,Rental unit in Brooklyn ,1 bedroom
1269,Leslie,Manhattan,Upper West Side,40.77894,-73.98759,182,30,85,11/4/2023,0.85,1,238,23,4.87,1 bed,1 bath,Rental unit in New York,1 bedroom
1270,Erin,Brooklyn,Crown Heights,40.67437,-73.94791,70,30,125,8/8/2023,1.27,1,234,14,4.9,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1272,Danforth,Staten Island,St. George,40.64816,-74.08445,220,30,199,9/25/2023,2.01,1,90,20,4.87,4 beds,2 baths,Home in Staten Island,2 bedrooms
1273,Deb,Brooklyn,Prospect-Lefferts Gardens,40.66165,-73.95659,150,30,121,10/22/2023,1.31,2,358,22,4.5,9 beds,1 bath,Townhouse in Brooklyn,3 bedrooms
1274,Rani,Brooklyn,Crown Heights,40.67619,-73.92372,38,30,28,8/17/2023,0.29,4,54,4,4.29,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1275,Tatiana,Manhattan,Lower East Side,40.71886207,-73.98987331,481,4,191,10/13/2023,2.14,1,65,17,4.57,3 beds,1 bath,Rental unit in New York,2 bedrooms
1276,Patricia,Queens,Queens Village,40.71869,-73.75395,101,30,85,1/2/2023,0.86,1,364,2,4.71,4 beds,1 bath,Guest suite in Queens,1 bedroom
1277,Ayman,Staten Island,West Brighton,40.62872,-74.12154,86,30,230,8/29/2023,2.32,1,244,10,4.89,3 beds,1 bath,Townhouse in Staten Island,Studio
1278,Karen,Brooklyn,Park Slope,40.67601,-73.98216,36,30,58,4/30/2023,0.58,2,232,1,4.64,2 beds,1.5 baths,Loft in Brooklyn,1 bedroom
1279,Rose-Marie,Brooklyn,Gowanus,40.66639,-73.99307,180,30,148,9/1/2023,1.5,1,168,2,4.93,2 beds,1 bath,Townhouse in Brooklyn,2 bedrooms
1280,Sidiq,Brooklyn,Greenpoint,40.72006,-73.95467,89,30,24,9/5/2023,0.24,4,180,1,4.71,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1281,Michael,Staten Island,Concord,40.60494,-74.07337,120,30,68,11/5/2023,0.69,1,75,11,4.96,3 beds,1 bath,Guest suite in Staten Island,1 bedroom
1282,Dolphy,Brooklyn,Canarsie,40.63806,-73.90757,459,2,80,10/29/2023,0.86,1,251,27,4.93,6 beds,1.5 baths,Home in Brooklyn,3 bedrooms
1283,Beverly,Brooklyn,Bedford-Stuyvesant,40.68483,-73.93206,150,30,32,6/18/2023,0.33,1,349,1,4.91,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
1284,Amy,Queens,Flushing,40.74582,-73.83153,68,30,83,9/24/2023,0.84,7,90,15,4.69,1 bed,1.5 baths,Townhouse in Queens,1 bedroom
1285,Anetha,Brooklyn,Prospect-Lefferts Gardens,40.66137,-73.94181,75,30,116,9/29/2023,1.17,3,90,9,4.34,2 beds,1 shared bath,Rental unit in Brooklyn,1 bedroom
1286,Beatrice,Brooklyn,Kensington,40.64317,-73.97358,77,30,85,10/6/2023,0.93,1,31,5,4.62,1 bed,1 bath,Townhouse in Brooklyn,1 bedroom
1287,Anetha,Brooklyn,Prospect-Lefferts Gardens,40.66177,-73.94156,99,30,177,10/22/2023,1.78,3,90,4,4.27,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
1288,Marjorie,Brooklyn,Red Hook,40.67695403,-74.01460717,65,1,407,11/29/2023,4.13,1,122,67,4.87,1 bed,1 private bath,Condo in Brooklyn,1 bedroom
1289,Diana,Brooklyn,Bushwick,40.69611,-73.93356,190,5,169,11/19/2023,1.71,4,25,32,4.95,1 bed,1 private bath,Condo in Brooklyn,1 bedroom
1290,Angie,Manhattan,East Harlem,40.79839,-73.94061,55,30,77,11/27/2023,0.78,2,105,26,4.75,1 bed,1 shared bath,Loft in New York,1 bedroom
1291,Sandra,Brooklyn,Fort Greene,40.69115,-73.9721,100,30,30,11/11/2023,0.63,1,310,16,5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
1292,Arielle,Brooklyn,Greenpoint,40.73054,-73.95629,324,30,19,10/1/2023,0.27,1,43,3,4.95,1 bed,1 bath,Loft in Brooklyn,1 bedroom
1293,Amy,Queens,Flushing,40.74427,-73.83192,58,30,160,10/30/2023,1.62,7,90,16,4.53,1 bed,1 shared bath,Townhouse in Queens,1 bedroom
1294,Darin,Manhattan,Gramercy,40.73558,-73.98181,134,30,242,11/23/2023,2.48,1,305,43,4.88,1 bed,1 private bath,Rental unit in New York,1 bedroom
